(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0C4ZKGL81,B06Y39FWWF, ,RB-VIN-Gol-Bro-S06,"1,904",33,0.04%,0.04%,"2,422",38,0.04%,0.03%,98.23%,96.00%,7,0,0.37%,0.00%,"$1,103.00",$0.00,7,0
B0CBNPBSMC,B075QXVQD6,"Infusion Fruit Infuser Water Bottle - BPA Free Insulated Water Bottle, Reusable Water Bottle with Fruit Infuser, Easy-to-Clean Gym Accessories for Women, Sports Water Bottle, Savvy Outdoors",RC-SAV-B075QXVQD6,"1,526",22,0.03%,0.03%,"1,818",25,0.03%,0.02%,63.91%,54.17%,22,0,1.44%,0.00%,$416.90,$0.00,7,0
B08ZJ3JLTQ,B07751XWPH,"Kimberbell Hello Sunshine Quilt Design - Machine Embroidery Design CD & Book, Completed Size: 52x67” with 6 Bonus Projects for Home Decor, Hoop Sizes: 4x4, 5x7, 6x10”",RB-KB-KD802,"1,238",15,0.03%,0.02%,"1,502",19,0.02%,0.02%,71.84%,47.06%,7,0,0.57%,0.00%,$585.00,$0.00,7,0
B078HCY2XW,B078966VHN,"Kijaro Kubie Versatile, Kawachi Purple",RC-DEN-980174,759,9,0.02%,0.01%,972,10,0.02%,0.01%,8.90%,33.33%,7,0,0.92%,0.00%,$362.80,$0.00,7,0
B0C4ZKGL81,B07H7VVVJ9, ,RB-VIN-Blu-SilM-S12,"1,769",23,0.04%,0.03%,"2,249",29,0.03%,0.03%,99.27%,88.89%,7,0,0.40%,0.00%,$910.00,$0.00,7,0
B07L32VRMQ,B07L32VRMQ,"""Hoppy"" Easter Bench Pillow",RB-KB-KD571,675,9,0.01%,0.01%,969,12,0.02%,0.01%,11.15%,14.29%,7,0,1.04%,0.00%,$218.61,$0.00,7,0
B07QFBL57H,B07QFBL57H,ANIMED 2.5 lb Glucosamine 5000,RB-ANI-097416-MB,700,1,0.01%,0.00%,932,1,0.01%,0.00%,99.36%,100.00%,12,0,1.71%,0.00%,$591.48,$0.00,7,0
B093XVHZC7,B093XVHZC7,"Kimberbell Fusible Backing Specialty Stabilizer Light Weight 20”x5 Yd Roll Cut into Variable Sizes: For Machine Embroidery, Hand Sewing, Quilting, Piecing Projects, Appliqués, Crafting, Iron-On & More",RB-KB-KDST127,182,4,0.00%,0.00%,229,5,0.00%,0.00%,99.55%,100.00%,7,0,3.85%,0.00%,$293.86,$0.00,7,0
B0BK95YJCH,B09BHGLRBF,"Vincero Polarized Sunglasses for Men - The Villa Italian Mens Sunglasses, 100% UV Protection, Scratch Resistant, Anti-reflective coating, Medium Fit, Polarized Sunglasses Men(Matte Black)",RB-VIN-VBla-Bla-G36,230,5,0.00%,0.01%,454,6,0.01%,0.01%,90.77%,75.00%,8,0,3.48%,0.00%,$588.00,$0.00,7,0
B0CV1XXCPR,B0C4RXZXBD,"Galway Bay All-Weather Men's Golf Pants - Chino Style Golf Pants Men are Sure to Love, Waterproof Pants for Men, Breathable High Stretch Golf Pants for Men, Rain Pants for Golf Slate Blue",RB-GAL-GB1451SL-36X32,169,3,0.00%,0.00%,227,6,0.00%,0.01%,99.02%,100.00%,7,0,4.14%,0.00%,"$1,113.00",$0.00,7,0
B0CXDTXYCB,B0CGMNY2RK,"Biovanta Cold and Flu Relief Kit Plus Immune Support, Soothing Throat Spray, 10mL, 6 Plant-Based Aspirin Tablets, Multi-Symptom Sore Throat Relief",RB-BIO-850013294213,"4,966",131,0.10%,0.16%,"6,894",203,0.11%,0.19%,1.26%,4.55%,7,0,0.14%,0.00%,$62.50,$0.00,7,0
B0CZMM7BJ9,B0CZMM7BJ9,"Kimberbell Project Batting Roll – 40x40"" Cotton/Poly Blend for Sewing & Machine Embroidery, Adds Texture & Stability, Scrim Liner, Machine Washable",RB-KB-KDST144,80,1,0.00%,0.00%,100,1,0.00%,0.00%,87.23%,0.00%,7,0,8.75%,0.00%,$185.36,$0.00,7,0
B0DGB5SFR4,B0DGB5SFR4,"Yummy Combs Dog Dental Treats – Vet VOHC Approved, Removes Tartar & Cleans Teeth – Yummy High Protein Chicken Treat for Extra Small Dogs (Mini Pack, 30 Count)",RC-PBL-1020030XS,88,0,0.00%,0.00%,110,0,0.00%,0.00%,100.00%,0.00%,8,0,9.09%,0.00%,$151.92,$0.00,7,0
B0DJGZ7FHF,B0DGB74CP6,"Sea Foam Marine PRO Marine Fuel System Treatment MP20, 20 oz, Pack of 6",RB-V-B0DGB74CP6,"1,389",65,0.03%,0.08%,"1,720",82,0.03%,0.08%,97.32%,100.00%,7,1,0.50%,1.54%,$686.00,$98.00,7,1
B0DH9WJWWW,B0DHDCVYDT,"NADRI Tennis Bracelet – Rhodium-Plated Jordan RD Tennis Bracelet with Brilliant-Cut Cubic Zirconia Stones, Tennis Bracelets For Women, Bridal Jewelry",RB-NAD-HB40669RCZ,166,1,0.00%,0.00%,219,1,0.00%,0.00%,99.47%,0.00%,7,0,4.22%,0.00%,$375.00,$0.00,7,0
B0DLHGQ1C3,B0DJPVJ6XK,NADRI Christmas Earrings Set for Women - Grouchy Santa Earrings with Heart Earrings - Christmas Earrings for Women - Earrings -Holiday Earrings,RB-NAD-HD42761GMW,692,5,0.01%,0.01%,841,8,0.01%,0.01%,99.87%,100.00%,7,0,1.01%,0.00%,$228.00,$0.00,7,0
B0CPZBXZ74,B00B2FC6TU,"White Knight 1309-14S Zinc M14x1.50 Open-End Bulge Acorn Lug Nut, 4 Pack",RB-WK-1309-14S,92,2,0.00%,0.00%,125,12,0.00%,0.01%,98.82%,0.00%,6,0,6.52%,0.00%,$53.82,$0.00,6,0
B00B7H5W9Y,B00B7H5W9Y,"Canine Caviar - Open Meadow: Lamb & Pearl Millet Alkaline Dry Dog Food, Limited Ingredients, Gluten-Free, Based on Science & Research, Veterinary Alternative Diet (4.4 Pound Bag)",RC-CAN-901268,371,6,0.01%,0.01%,543,9,0.01%,0.01%,5.86%,0.00%,6,0,1.62%,0.00%,$172.72,$0.00,6,0
B00OU6IFV6,B00OU6IFV6,"Canine Caviar Grain-Free Free-Range Buffalo Dog Food, 4.4Lb.",RB-CAN-902463,311,6,0.01%,0.01%,429,6,0.01%,0.01%,25.27%,60.00%,6,0,1.93%,0.00%,$319.82,$0.00,6,0
B078HCY2XW,B07896CD7P,"Kijaro Kubie Versatile, Red Rock Canyon",RC-DEN-980114,879,8,0.02%,0.01%,"1,189",10,0.02%,0.01%,5.62%,0.00%,6,0,0.68%,0.00%,$221.61,$0.00,6,0
B085B34QS7,B07SBKB4K7,"Kijaro Lightweight Hammock – Perfect Backpacking Hammock, Portable Hammock & Camping Hammock – Holds Up to 300lbs – Various Outdoor Hammock Colors & Patterns - Victoria Desert Orange Journey Print",RC-DEN-991304,190,3,0.00%,0.00%,235,3,0.00%,0.00%,88.18%,0.00%,6,0,3.16%,0.00%,$146.94,$0.00,6,0
B08TX7KLZ9,B07V4SYM9T,"Kimberbell Embellishment Kit Make Yourself at Home(26 Pcs) KDKB155: Includes Buttons, Mylar, Applique Glitter, Vinyl, Variety of Colors, Pair with Machine Embroidery & Sewing Designs KD805 & KD721",RB-KB-KDKB155,345,3,0.01%,0.00%,423,3,0.01%,0.00%,99.24%,100.00%,6,0,1.74%,0.00%,$244.73,$0.00,6,0
B083ZYXN8J,B083ZYXN8J,"Equip Hammock Straps with Multiple Anchor Points, Black, One Size",RC-DEN-977114,135,4,0.00%,0.00%,152,5,0.00%,0.00%,61.22%,80.00%,6,0,4.44%,0.00%,$87.42,$0.00,6,0
B0D2YGPXH7,B085SLQ56P,"Solstice Inflatable Luxe Tract Dock - Gray, 8'x5'",RC-SOL-38805,928,32,0.02%,0.04%,"1,126",33,0.02%,0.03%,39.85%,45.45%,6,2,0.65%,6.25%,"$3,210.00","$1,070.00",6,2
B08TT5WBSK,B08TT5WBSK,"Kimberbell Bench Pillow: Main Street Celebration Machine Embroidery Design CD, Completed Size: 16 x 38”, includes: 9 Files + SVG, Step-by-Step Instructions for Beginners to Advanced, 5 x 7” Hoop Size",RB-KB-KD5101,111,6,0.00%,0.01%,152,6,0.00%,0.01%,94.66%,100.00%,6,0,5.41%,0.00%,$269.88,$0.00,6,0
B09JQ9CY9T,B099VC69X8,"White Knight 3809XLBK-33AM Black M14x1.50 Solid Piece Spline Spike Lug Nut Set with Extra Spline Spike, 33 Pack",RB-WHT-3809XLBK-33AM,108,3,0.00%,0.00%,136,3,0.00%,0.00%,98.53%,100.00%,6,0,5.56%,0.00%,$449.94,$0.00,6,0
B09FNKRF2Z,B09FNKRF2Z,"Kimberbell Halloween Quilt Embroidery Machine Design - Broomhilda’s Bakery Machine Embroidery Pattern CD & Book, Embroidery Hoop Sizes: 4x4, 5x7, 6x10, 8x8, Halloween Decorations and Fall Decor",RB-KB-KD804-A,773,8,0.02%,0.01%,972,10,0.02%,0.01%,98.27%,100.00%,7,0,0.91%,0.00%,$594.86,$0.00,6,0
B0C91T368T,B0BRPN1VLP,"OMG Nicole Luxurious Ultra Soft Minky Blanket, Wild Rabbit in Bellflower, 60x72"" Super Soft Fluffy Throw, Throw Blanket for Couch, Bed, Sofa, Premium Quality Handmade in the USA",RB-SS-N--01003,"1,061",14,0.02%,0.02%,"1,270",16,0.02%,0.01%,99.73%,91.67%,6,1,0.57%,7.14%,"$1,018.92",$168.97,6,1
B0CTHQ1TLC,B0C4QLR9YB,"Galway Bay Long Sleeve Golf Rain Jacket - 3 Layer Jackets, Lightweight, Waterproof, Breathable Rain Coats for Men",RB-GAL-2313LJ006 - BK-XL,325,5,0.01%,0.01%,410,5,0.01%,0.00%,98.44%,100.00%,6,0,1.85%,0.00%,"$1,725.00",$0.00,6,0
B0CV1V2TY9,B0C4QP2XGX,"Short Sleeve Golf Rain Jacket - Three Layer Short Sleeve Lightweight, Breathable, All Weather Jacket for Men",RB-GAL-2213LJ002-SL-XL,"1,137",13,0.02%,0.02%,"1,522",16,0.02%,0.01%,90.70%,100.00%,6,0,0.53%,0.00%,"$1,194.00",$0.00,6,0
B0CTHZ6THK,B0C7YG4TT5,Galway Bay Thermal Water Resistant Arm Sleeves - All-Weather Golf Arm Sleeves for Warmth and Water Protection,RB-GB9525BK-M,81,1,0.00%,0.00%,93,1,0.00%,0.00%,98.81%,100.00%,6,1,7.41%,100.00%,$224.70,$42.00,6,1
B0CP2JSJ6V,B0CP2JSJ6V,"Canine Caviar Healthy Dog Treats - Purple Sweet Potato Dog Treats, Rawhide Free and Gluten Free Dog Training Treats for All Breeds and Sizes, 12 oz.",RB-CAN-120232,30,0,0.00%,0.00%,34,0,0.00%,0.00%,91.18%,0.00%,7,0,23.33%,0.00%,$111.79,$0.00,6,0
B0DMFJ1VW6,B0DG9X3T2G,"Sea Foam Spray Engine Intake Valve Cleaner, SS14, 14 oz, Pack of 6",RB-SEA-SS14-6,464,17,0.01%,0.02%,570,18,0.01%,0.02%,95.90%,100.00%,7,4,1.51%,23.53%,$588.00,$336.00,6,3
B0DGB6DVZN,B0DGB6DVZN,"Yummy Combs Dog Dental Treats – Vet VOHC Approved, Removes Tartar & Cleans Teeth – Yummy High Protein Chicken Treat for Small Dogs (Mini Pack, 13 Count)",RC-PBL-1020030SM,60,1,0.00%,0.00%,80,4,0.00%,0.00%,100.00%,0.00%,7,0,11.67%,0.00%,$132.93,$0.00,6,0
B0DH9WJWWW,B0DHDC4MXG,"NADRI Tennis Bracelet – Gold Plated Jordan RD Tennis Bracelet with Brilliant-Cut Cubic Zirconia Stones, Tennis Bracelets For Women, Bridal Jewelry",RB-NAD-HB40669GCZ,200,5,0.00%,0.01%,289,5,0.00%,0.00%,100.00%,100.00%,6,0,3.00%,0.00%,$250.00,$0.00,6,0
B0DLHGQ1C3,B0DJPW1QD4,"Secret Santa Christmas Earrings Set for Women - CZ Diamond Holiday Studs & Rudolph Reindeer Earrings - Festive Jewelry, Stocking Stuffer",RB-NAD-HD41576GMW,308,2,0.01%,0.00%,339,2,0.01%,0.00%,100.00%,0.00%,6,0,1.95%,0.00%,$90.00,$0.00,6,0
B0F2TP8DML,B0DYFX5KRT,"Virbac URSOLYX Soft Chews for Dogs | Muscle Health Support for Senior, Active or Recovering Dogs, Large | 120 Count 4-Month Supply",RB-VB-125909-2pk,63,3,0.00%,0.00%,80,4,0.00%,0.00%,72.41%,100.00%,6,1,9.52%,33.33%,$917.88,$152.98,6,1
B0034MD6BQ,B0034MD6BQ,ANIMED Blend Flax Seed Oil (1 Gal)…,RB-ANI-051932M,163,2,0.00%,0.00%,209,2,0.00%,0.00%,10.78%,0.00%,7,0,4.29%,0.00%,$251.93,$0.00,5,0
B0083CVJFM,B0083CVJFM,White Knight M14x1.50 Thread Lug Nuts for Aftermarket or Factory Wheels - 4 Chrome Lock Nuts & Key - Bulge Acorn Locks Seating - Carbon Steel for Durable Construction & Easy Installation - 40900S,RB-WK-40900S,150,2,0.00%,0.00%,211,5,0.00%,0.00%,99.05%,100.00%,5,0,3.33%,0.00%,$69.95,$0.00,5,0
B0CPQNVTJK,B00B2FC8KW,"White Knight M14x1.50 Duplex 7 Spline Lug Nuts with Key (for Aftermarket Wheels), EZ Installation, Durable Carbon Steel with Stylish Triple Layered Chrome Finish, 3809L-4AM (4 Pack)",RB-WK-3809L-4,115,4,0.00%,0.00%,137,5,0.00%,0.00%,99.06%,100.00%,5,0,4.35%,0.00%,$72.45,$0.00,5,0
B00B2FCEOC,B00B2FCEOC,"White Knight 3804BK-20AM (Black Chrome) 1/2""-20 Spline Lug Nut with Key, 20 Pack (for AFTERMARKET Wheels with Smaller 0.80"" Diameter Seating)",RB-WK-3804BK-20AM,455,12,0.01%,0.01%,613,15,0.01%,0.01%,43.39%,46.67%,5,1,1.10%,8.33%,$117.45,$23.49,5,1
B0CPM175CH,B00B2FCJ2O,"White Knight 791306-1SAM Chrome M12x1.25 Open End Bulge Acorn Lug Nut Kit with Wheel Locks, 20 Pack",RB-WK-791306-1SAM,84,1,0.00%,0.00%,127,1,0.00%,0.00%,97.60%,100.00%,5,0,5.95%,0.00%,$99.85,$0.00,5,0
B0CPM7JG44,B00B2FCJ88,"White Knight 791304-1SAM Chrome 1/2""-20 Open End Bulge Acorn Lug Nut Kit with Wheel Locks, 20 Pack",RB-WHT-791304-1SAM,75,2,0.00%,0.00%,84,2,0.00%,0.00%,91.03%,0.00%,5,0,6.67%,0.00%,$83.96,$0.00,5,0
B0CPT9SCQ6,B00B2FCUMS,"White Knight 3804-20AM Chrome 1/2""-20 Spline Lug Nut with Key, 20 Pack",RB-WK-3804-20AM,50,3,0.00%,0.00%,77,3,0.00%,0.00%,84.51%,100.00%,6,0,12.00%,0.00%,$143.94,$0.00,5,0
B0DF2M5BGT,B00BUM3MLG,"Canine Caviar - Open Sky: Duck & Teff Alkaline Dry Dog Food, Limited Ingredients, Gluten-Free, Based on Science & Research, Veterinary Alternative Diet (4.4 Pound Bag)",RC-CAN-902456,140,3,0.00%,0.00%,185,3,0.00%,0.00%,10.84%,50.00%,5,0,3.57%,0.00%,$156.00,$0.00,5,0
B0757CW49R,B01N1V1T4K,"Savvy Outdoors Waterproof Dry Bag - Dry Bags for Food & Gear, Stuff Sacks for Backpacking and Camping Equipment, Waterproof Bag for Beach, Boating, Kayaking, Available in 5L, 10L, 20L, or 30L, Black",RB-SAV-B01N1V1T4K,252,2,0.01%,0.00%,288,2,0.00%,0.00%,98.81%,100.00%,5,0,1.98%,0.00%,$79.75,$0.00,5,0
B0DMT7QDLT,B07DHD8G2B,"Sea Foam Motor Treatment Fuel & Oil Additive, SF16, 16 oz, Pack of 12",RB-SEA-SF16-12,"2,851",148,0.06%,0.18%,"3,726",195,0.06%,0.18%,0.18%,0.00%,5,3,0.18%,2.03%,$695.00,$417.00,5,3
B0DTVPRPGL,B07DHD8G2B,"Sea Foam Motor Treatment Fuel & Oil Additive, SF16, 16 oz, Pack of 12",RB-SEA-SF16-12,397,21,0.01%,0.03%,497,25,0.01%,0.02%,0.95%,0.00%,5,1,1.26%,4.76%,$695.00,$139.00,5,1
B08Z2BHCJK,B07HVCJZQC,Savvy Outdoors Insulated Wine Tote Bag with Stemless Glasses & Exterior Pouch - Foldable Wine Carrier & Portable Cooler,RC-SAV-B07HVCJZQC,"11,111",287,0.23%,0.35%,"14,691",399,0.23%,0.37%,0.39%,0.78%,5,5,0.05%,1.74%,$249.75,$249.75,5,5
B085B34QS7,B07SCPC3WP,"Kijaro Ultralight Hammock Journey Print, Hallett Peak Gray",RC-DEN-991294,173,2,0.00%,0.00%,213,2,0.00%,0.00%,86.11%,100.00%,5,0,2.89%,0.00%,$131.67,$0.00,5,0
B0CPY5C42H,B07WNY117R,"White Knight M14x1.5 Solid Piece Factory Style (1.78"") for Silverado, Suburban, Tahoe, Traverse, Sierra, Yukon, Escalade, XT’s and GM New EV SUV Trucks - 1709DL-4 (4 Pack)",RB-WK-1709DL-4,98,5,0.00%,0.01%,137,10,0.00%,0.01%,100.00%,100.00%,5,0,5.10%,0.00%,$64.95,$0.00,5,0
B08Y1VFNZS,B083J23HT8,SOLSTICE High-Performance Inflatable Pump | Turbo Electric High-Volume Air Pump for Large Inflatables | Turbo Electric Model,RC-SOL-019200,84,5,0.00%,0.01%,90,5,0.00%,0.00%,44.83%,50.00%,5,0,5.95%,0.00%,$149.85,$0.00,5,0
B085SLNG34,B085SLNG34,"Solstice 10 Foot x 8 Foot Inflatable Convertible Floating Slide Dock Water Lounger Platform with Pump and Storage Bag for Lakes, Pools, and Rivers",RC-SOL-036108,514,12,0.01%,0.01%,742,15,0.01%,0.01%,63.31%,66.67%,5,0,0.97%,0.00%,"$3,232.00",$0.00,5,0
B0BFXKYM2N,B08GF5GVNY,"Savvy Outdoors Sling Backpack for Women - Small Crossbody Bags with One Strap Perfect for Hiking, Walking, Traveling - Small Outdoor Over the Shoulder Travel Accessories Perfect Women's Gift - White",RC-SAV-B08GF5GVNY,686,8,0.01%,0.01%,893,11,0.01%,0.01%,68.87%,45.45%,5,0,0.73%,0.00%,$127.46,$0.00,5,0
B09TG5KL41,B08NFDFP2D,"pawlife Hemp Dog Calming Chews - Anxiety Relief Treats, 360 Calming Treats for Dogs, Calm Pup Dog Anxiety Relief & Joint Support, Oil Infused Calming Chews for Dogs Anxiety (Duck Flavor)",RC-PAW-CPD-SKU-360,46,1,0.00%,0.00%,61,2,0.00%,0.00%,94.44%,100.00%,5,1,10.87%,100.00%,$318.83,$62.95,5,1
B09JQ3VF7X,B099V1QL8R,"White Knight 2906-25AM Chrome M12x1.25 1-Pc Hex Spike Lug Nut Set with Extra Spike Lug Nut, 25 Pack",RB-WK-2906-25AM,94,3,0.00%,0.00%,135,7,0.00%,0.01%,92.54%,100.00%,5,1,5.32%,33.33%,$287.80,$57.56,5,1
B09JQ9CY9T,B099VBNSKR,"White Knight 3804XLBK-25AM Black 1/2""-20 Solid Piece Spline Spike Lug Nut Set with Extra Spline Spike, 25 Pack",RB-WK-3804XLBK-25AM,105,5,0.00%,0.01%,139,8,0.00%,0.01%,95.68%,100.00%,5,1,4.76%,20.00%,$317.25,$63.45,5,1
B09LNP2RCC,B09LNP2RCC, ,RC-V1-115266-1,627,8,0.01%,0.01%,792,15,0.01%,0.01%,89.61%,100.00%,7,0,1.12%,0.00%,$237.79,$0.00,5,0
B0DWXY8BZN,B09TFSYRGD,SOLSTICE ORIGINAL Floating Inflatable Dock Platform 11 FT C-Dock Float For Lake Boat Pool Ocean |W/ Non-Slip Pad & Removable Pillows | Water Mat Swim Raft For Adults Kids Dogs | 8 Inch Thick & Stable,RC-SOL-038175-1,952,37,0.02%,0.05%,"1,212",45,0.02%,0.04%,77.82%,90.91%,7,0,0.74%,0.00%,"$4,446.48",$0.00,5,0
B0C91T368T,B0BRPNQGYV,"OMG Casey Luxurious Ultra Soft Minky Blanket, Wild Lynx in Wild Rose Minky Fabric, 60x82"" Super Soft Fluffy Throw, Throw Blanket for Couch, Bed, Sofa, Premium Quality Handmade in the USA",RB-SS-C-01010,992,16,0.02%,0.02%,"2,471",39,0.04%,0.04%,99.91%,100.00%,5,0,0.50%,0.00%,$995.00,$0.00,5,0
B0CTHQ1TLC,B0C4QSMZ2Y,"Galway Bay Long Sleeve Golf Rain Jacket - Three Layer Long Sleeve Golf Jackets for Men, Lightweight and Breathable Rain Coats for Men, Rain Jackets for Men Waterproof",RB-GAL-2313LJ006 - BK-M,336,5,0.01%,0.01%,430,5,0.01%,0.00%,95.51%,100.00%,5,0,1.49%,0.00%,"$1,405.30",$0.00,5,0
B0CSS6C5SB,B0C4RZJG9J,"Galway Bay All-Weather Men's Golf Pants - Chino Style Golf Pants Men are Sure to Love, Waterproof Pants for Men, Breathable High Stretch Golf Pants for Men, Rain Pants for Golf Black",RB-GAL-GB1451BK-32x32,343,4,0.01%,0.00%,592,7,0.01%,0.01%,99.80%,100.00%,5,0,1.46%,0.00%,$636.00,$0.00,5,0
B0C66MM6RM,B0C66MM6RM,"Kimberbell Shout Hooray Bench Pillow - Personalize Your Pillow for Birthdays, Anniversary, Baby Shower & Welcome Parties, Embroidery Patterns for Quilting, Embroidery CD Template",RB-KD5120,497,5,0.01%,0.01%,658,5,0.01%,0.00%,99.82%,100.00%,5,0,1.01%,0.00%,$224.90,$0.00,5,0
B0CYDM9NX6,B0CLBZMNMZ,"SOLSTICE Inflatable Dock, Round Floating Mesh Ring Platform 8ft x 8in w/ Pump, Blue",RB-SOL-38081,"1,295",31,0.03%,0.04%,"1,742",35,0.03%,0.03%,85.54%,75.00%,5,0,0.39%,0.00%,"$2,250.00",$0.00,5,0
B0F1DTWRG6,B0DVMSZXDT,"Virbac URSOLYX Soft Chews for Dogs | Muscle Health Support for Senior, Active or Recovering Dogs, Medium | 60 Count 2- Month Supply",RB-VB-125908,58,1,0.00%,0.00%,84,2,0.00%,0.00%,100.00%,100.00%,5,0,8.62%,0.00%,$332.45,$0.00,5,0
B0DVMVSCYB,B0DVMVSCYB,"Virbac URSOLYX Soft Chews for Dogs | Muscle Health Support for Senior, Active or Recovering Dogs, Small | 60 Count 2- Month Supply",RB-VB-125907,74,4,0.00%,0.00%,118,4,0.00%,0.00%,55.32%,100.00%,5,0,6.76%,0.00%,$287.45,$0.00,5,0
B0F2GM6P6V,B0F2GTFZ7V,"Allermyl Piroctone Olamine Medicated Pet Shampoo - Hypoallergenic Shampoo for Dogs and Cats, Soothing and moisturizing Dog Shampoo for Allergic Skin (by Virbac)",RB-VB-15572,44,1,0.00%,0.00%,69,1,0.00%,0.00%,100.00%,0.00%,5,0,11.36%,0.00%,$156.05,$0.00,5,0
B07TKYW762,B0056EAKSM,"Virbac Epi-Otic Advanced Ear Cleaner, 8 oz",RC-VB-028254-NEW,166,5,0.00%,0.01%,234,7,0.00%,0.01%,0.00%,0.00%,4,0,2.41%,0.00%,$111.96,$0.00,4,0
B0CPTBQN6D,B0083CVITE,"White Knight 40700S Chrome M12 x 1.50 Thread Size Acorn Socket Type Wheel Lock, 4 Pack",RB-WK-40700S,39,0,0.00%,0.00%,61,0,0.00%,0.00%,91.67%,0.00%,4,0,10.26%,0.00%,$55.96,$0.00,4,0
B0083CVIXU,B0083CVIXU,"White Knight 40600S Chrome M12 x 1.25 Thread Size Acorn Wheel Lock, 4 Pack",RB-WK-40600S,101,2,0.00%,0.00%,147,2,0.00%,0.00%,80.27%,50.00%,4,0,3.96%,0.00%,$54.36,$0.00,4,0
B0CPTBQN6D,B0083CVJ34,"White Knight 40400S Chrome Finish 1/2""-20 Thread Size Acorn Wheel Lock, (Pack of 4)",RB-WK-40400S,25,1,0.00%,0.00%,59,2,0.00%,0.00%,100.00%,100.00%,8,0,32.00%,0.00%,$111.92,$0.00,4,0
B0DF2M5BGT,B00B4XEIUA,"Canine Caviar - Free Spirit: Chicken & Pearl Millet Alkaline Dry Dog Food, Limited Ingredients, Gluten-Free, Based on Science & Research, Veterinary Alternative Diet (4.4 Pound Bag)",RC-CAN-901275,49,3,0.00%,0.00%,70,7,0.00%,0.01%,41.38%,0.00%,4,0,8.16%,0.00%,$112.00,$0.00,4,0
B00B7H5VAO,B00B7H5VAO,"Canine Caviar - Special Needs: Chicken & Brown Rice Alkaline Dry Dog Food, Limited Ingredients, Gluten-Free, Based on Science & Research, Veterinary Alternative Diet (4.4 Pound Bag)",RC-CAN-901282,156,1,0.00%,0.00%,223,1,0.00%,0.00%,26.00%,0.00%,5,0,3.21%,0.00%,$139.85,$0.00,4,0
B0DF2M5BGT,B00B7H5W9Y,"Canine Caviar - Open Meadow: Lamb & Pearl Millet Alkaline Dry Dog Food, Limited Ingredients, Gluten-Free, Based on Science & Research, Veterinary Alternative Diet (4.4 Pound Bag)",RC-CAN-901268,80,3,0.00%,0.00%,105,3,0.00%,0.00%,15.63%,0.00%,4,0,5.00%,0.00%,$111.80,$0.00,4,0
B0DF2M5BGT,B00B7H5WNU,"Canine Caviar - Leaping Spirit: Venison & Pearl Millet Alkaline Dry Dog Food, Limited Ingredients, Gluten-Free, Based on Science & Research, Veterinary Alternative Diet (4.4 Pound Bag)",RC-CAN-902449,79,2,0.00%,0.00%,97,2,0.00%,0.00%,10.23%,0.00%,5,0,6.33%,0.00%,$158.00,$0.00,4,0
B0C4Y8TW1V,B011BPK2ZK,"Feline Caviar Dry Cat Food - Open Range: Buffalo & Chickpea - Holistic Limited Ingredient Grain Free Dry Cat Food Entrée for Short or Long-Haired Cats, Nutritious for All Stages of Life, 4.4 lbs",RC-CAN-902494,86,2,0.00%,0.00%,100,2,0.00%,0.00%,66.28%,100.00%,4,0,4.65%,0.00%,$155.88,$0.00,4,0
B0CYD8L74Z,B01B4C7K46,"SWIMLINE HYDROTOOLS Above-Ground Pool Motor Pump, Hydro-Flo 0.3 HP w/ 2220 GPH, Vertical",RB-SOL-71206,431,22,0.01%,0.03%,657,27,0.01%,0.02%,18.12%,58.82%,4,0,0.93%,0.00%,$436.00,$0.00,4,0
B0CYD8L74Z,B01B4C7P3C,"SWIMLINE HYDROTOOLS Above-Ground Pool Motor Pump, Hydro-Flo 0.3 HP w/ 1980 GPH, Vertical",RB-SOL-71236,276,8,0.01%,0.01%,442,18,0.01%,0.02%,27.19%,50.00%,4,0,1.45%,0.00%,$559.88,$0.00,4,0
B0DFMW96GX,B01MTOFE7J,"Canine Caviar - Lamb Canned Wet Dog Food, Single Protein Formula, Alkaline Food Topper, Limited Ingredients, Gluten-Free, Based on Science & Research, Veterinary Alternative Diet (12.7 oz, 12-Pack)",RB-CAN-226156,72,3,0.00%,0.00%,94,4,0.00%,0.00%,48.28%,0.00%,4,0,5.56%,0.00%,$257.80,$0.00,4,0
B09FWBGPVS,B075K58RRG,"Savvy Infusion Flip Top Fruit Infuser Water Bottle - Unique Leak Proof Lid for Hikes, Outdoors - Dishwasher Safe Made with Tritan Shatter Proof Plastic - Great Gifts for Women - 24 Ounces Coral",RC-SAV-B075K58RRG,117,0,0.00%,0.00%,141,0,0.00%,0.00%,100.00%,0.00%,4,0,3.42%,0.00%,$75.00,$0.00,4,0
B07CZ1DJRD,B07CZ1DJRD,"Virbac Effipro Plus Topical Solution for Dogs - Dog Flea and Tick Treatment for Small Dogs (5-22.9lbs), 3 Doses, Waterproof Topical Prevention",RB-VB-063671,625,11,0.01%,0.01%,947,15,0.01%,0.01%,29.67%,25.00%,4,0,0.64%,0.00%,$158.91,$0.00,4,0
